Designator,Mid X,Mid Y,Layer,Rotation
C1,15.061,26.103,top,0
C2,11.759,26.103,top,180
C3,12.775,36.009,top,0
C4,38.302,30.675,top,180
C5,43.382,30.675,top,0
C6,22.3,28.008,top,0
C7,25.348,28.008,top,180
C8,26.999,35.501,top,0
C9,18.998,47.82,top,135
C10,17.982,37.152,top,225
C11,28.65,37.279,top,0
C12,28.698847,47.868847,top,45
C13,13.156,14.673,top,-90
C14,2.234,32.326,top,90
C15,31.19,20.388,top,90
C16,22.046,20.388,top,90
C17,19.252,35.882,top,225
D1,25.094,53.154,top,0
D2,6.044,23.436,top,-90
D3,25.094,51.376,top,0
L1,11.632,22.42,top,0
R1,38.429,21.658,top,180
R2,23.824,33.596,top,180
R3,26.999,33.85,top,180
R4,21.792,53.154,top,180
R5,21.792,51.376,top,0
U1,14.68,30.548,top,-180
U2,23.824,41.978,top,0
U3,40.842,26.103,top,-90
U4,42.62,44.645,top,0
U5,6.044,33.342,top,0
Y1,23.824,30.874,top,180
