"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"100uF","desc","C16,C15,C13,","CP_Elec_8x10","libref","2","3","","",
"104","desc","C17,C14,C12,C11,C10,C9,C8,C5,C4,C1,","C_0603_1608Metric","libref","2","10","","",
"106","desc","C2,","C_0603_1608Metric","libref","2","1","","",
"100uF","desc","C3,","CP_EIA-3528-21_Kemet-B","libref","2","1","","",
"22pF","desc","C7,C6,","C_0603_1608Metric","libref","2","2","","",
"LED","desc","D1,","D_0603_1608Metric","libref","2","1","","",
"SS14","desc","D2,","D_SMA","libref","2","1","","",
"RED","desc","D3,","D_0603_1608Metric","libref","2","1","","",
"68uH 500mA","desc","L1,","L_Taiyo-Yuden_NR-40xx_HandSoldering","libref","2","1","","",
"10M","desc","R2,","C_0603_1608Metric","libref","2","1","","",
"10k","desc","R3,R1,","C_0603_1608Metric","libref","2","2","","",
"1k","desc","R5,R4,","C_0603_1608Metric","libref","2","2","","",
"ESD-Logo_8.9x8mm_SilkScreen","desc","REF**,","ESD-Logo_8.9x8mm_SilkScreen","libref","0","1","","",
"AMS1117-3.3","desc","U1,","SOT-223-3_TabPin2","libref","4","1","","",
"STM32F103C8Tx","desc","U2,","LQFP-48_7x7mm_P0.5mm","libref","48","1","","",
"TXS0108EPW","desc","U3,","TSSOP-20_4.4x6.5mm_P0.65mm","libref","20","1","","",
"JDY-08","desc","U4,","JDY-08_HandSoldering","libref","24","1","","",
"XL1509-5.0E1","desc","U5,","SOIC-8_3.9x4.9mm_P1.27mm","libref","8","1","","",
"8M","desc","Y1,","Crystal_SMD_5032-2Pin_5.0x3.2mm","libref","2","1","","",
"Through Hole Items ",
"MountingHole_Pad","desc","H4,H3,H2,H1,","MountingHole_3.2mm_M3_Pad_Via","libref","9","4","","",
"LED_PORT1","desc","J1,","TerminalBlock_JL301-5.00-3P","libref","3","1","","",
"CONN_USART1","desc","J2,","PinHeader_1x04_P2.54mm_Vertical","libref","4","1","","",
"CONN_SWD","desc","J3,","PinHeader_1x04_P2.54mm_Vertical","libref","4","1","","",
"LED_PORT2","desc","J5,","TerminalBlock_JL301-5.00-3P","libref","3","1","","",
"PWR_IN","desc","J6,","TerminalBlock_JL301-5.00-2P","libref","2","1","","",
